file_name,text
kanji_04e9c.png,"Asia, rank next, come after, -ous"
kanji_05516.png,"mute, dumb"
kanji_05a03.png,beautiful
kanji_0963f.png,"Africa, flatter, fawn upon, corner, nook, recess"
kanji_054c0.png,"pathetic, grief, sorrow, pathos, pity, sympathize"
kanji_0611b.png,"love, affection, favourite"
kanji_06328.png,"approach, draw near, push open"
kanji_059f6.png,"good-looking, quiet"
kanji_09022.png,"meeting, tryst, date, rendezvous"
kanji_08475.png,hollyhock
kanji_0831c.png,"madder, red dye, Turkey red"
kanji_07a50.png,autumn
kanji_060aa.png,"bad, vice, rascal, false, evil, wrong"
kanji_063e1.png,"grip, hold, mould sushi, bribe"
kanji_06e25.png,"kindness, moisten"
kanji_065ed.png,"rising sun, morning sun"
kanji_08466.png,"reed, bullrush"
kanji_082a6.png,"reed, bullrush"
kanji_09bf5.png,horse mackerel
kanji_06893.png,"catalpa tree, woodblock printing"
kanji_05727.png,"pressure, push, overwhelm, oppress, dominate"
kanji_065a1.png,"go around, rule, administer"
kanji_06271.png,"handle, entertain, thresh, strip"
kanji_05b9b.png,"address, just like, fortunately"
kanji_059d0.png,"elder sister, maidservant"
kanji_0867b.png,"gadfly, horsefly"
kanji_098f4.png,"rice jelly, candy"
kanji_07d62.png,brilliant fabric design
kanji_07dbe.png,"design, figured cloth, twill"
kanji_09b8e.png,"freshwater trout, smelt"
kanji_06216.png,"some, one, or, possibly, a certain"
kanji_07c9f.png,millet
kanji_088b7.png,lined (kimono)
kanji_05b89.png,"relax, cheap, low, quiet, rested, contented, peaceful"
kanji_05eb5.png,"hermitage, retreat"
kanji_06309.png,"hold, consider, investigate"
kanji_06697.png,"darkness, disappear, shade, informal, grow dark, be blinded"
kanji_06848.png,"plan, suggestion, draft, ponder, fear, proposition, idea, expectation, worry, table, bench"
kanji_095c7.png,"get dark, gloom, disorder"
kanji_0978d.png,saddle
kanji_0674f.png,apricot
kanji_04ee5.png,"by means of, because, in view of, compared with"
kanji_04f0a.png,"Italy, that one"
kanji_04f4d.png,"rank, grade, throne, crown, about, some"
kanji_04f9d.png,"reliant, depend on, consequently, therefore, due to"
kanji_05049.png,"admirable, greatness, remarkable, conceited, famous, excellent"
kanji_056f2.png,"surround, besiege, store, paling, enclosure, encircle, preserve, keep"
kanji_05937.png,"barbarian, savage, Ainu"
kanji_059d4.png,"committee, entrust to, leave to, devote, discard"
kanji_05a01.png,"intimidate, dignity, majesty, menace, threaten"
kanji_05c09.png,"military officer, jailer, old man, rank"
kanji_060df.png,"consider, reflect, think"
kanji_0610f.png,"idea, mind, heart, taste, thought, desire, care, liking"
kanji_06170.png,"consolation, amusement, seduce, cheer, make sport of, comfort, console"
kanji_06613.png,"easy, ready to, simple, fortune-telling, divination"
kanji_06905.png,chair
kanji_070ba.png,"do, change, make, benefit, welfare, be of use, reach to, try, practice, cost, serve as, good, advantage, as a result of"
kanji_0754f.png,"fear, majestic, graciously, be apprehensive"
kanji_07570.png,"uncommon, different, queerness, strangeness, wonderful, curious, unusual"
kanji_079fb.png,"shift, move, change, drift, catch (cold, fire), pass into"
kanji_07dad.png,"fiber, tie, rope"
kanji_07def.png,"horizontal, woof, left & right, (parallels of) latitude, prediction"
kanji_080c3.png,"stomach, paunch, crop, craw"
kanji_0840e.png,"wither, droop, lame"
kanji_08863.png,"garment, clothes, dressing"
kanji_08b02.png,"reason, origin, history, oral tradition"
kanji_09055.png,"difference, differ"
kanji_0907a.png,"bequeath, leave behind, reserve"
kanji_0533b.png,"doctor, medicine"
kanji_04e95.png,"well, well crib, town, community"
kanji_04ea5.png,"sign of the hog, 9-11PM, twelfth sign of the Chinese zodiac"
kanji_057df.png,"range, region, limits, stage, level"
kanji_080b2.png,"bring up, grow up, raise, rear"
kanji_090c1.png,"cultural progress, perfume"
kanji_078ef.png,"seashore, beach"
kanji_04e00.png,"one, one radical (no.1)"
kanji_058f1.png,one (in documents)
kanji_06ea2.png,"overflow, inundate, spill"
kanji_09038.png,"deviate, idleness, leisure, miss the mark, evade, elude, parry, diverge"
kanji_07a32.png,rice plant
kanji_08328.png,"briar, thorn"
kanji_0828b.png,potato
kanji_09c2f.png,"sardine, (kokuji)"
kanji_05141.png,"license, sincerity, permit"
kanji_05370.png,"stamp, seal, mark, imprint, symbol, emblem, trademark, evidence, souvenir, India"
